TANGGAL,ISPU_PM2_5
5/7/2022,104
5/8/2022,95.75
5/9/2022,87.5
5/10/2022,79.25
5/11/2022,71
5/12/2022,65.5
5/13/2022,60
5/14/2022,102
5/15/2022,96
5/16/2022,90
5/17/2022,88
5/18/2022,93
5/19/2022,98
5/20/2022,100
5/21/2022,89.5
5/22/2022,79
5/23/2022,99
5/24/2022,98
5/25/2022,97
5/26/2022,96
5/27/2022,102
5/28/2022,108
5/29/2022,99.67
5/30/2022,91.33
5/31/2022,83
6/1/2022,77.67
6/2/2022,72.33
6/3/2022,67
6/4/2022,86
6/5/2022,87
6/6/2022,88
6/7/2022,74
6/8/2022,79.5
6/9/2022,85
6/10/2022,74
6/11/2022,74
6/12/2022,84
6/13/2022,86.5
6/14/2022,89
6/15/2022,103
6/16/2022,117
6/17/2022,131
6/18/2022,128.2
6/19/2022,125.4
6/20/2022,122.6
6/21/2022,119.8
6/22/2022,117
6/23/2022,105
6/24/2022,106.5
6/25/2022,108
6/26/2022,101
6/27/2022,94
6/28/2022,90
6/29/2022,86
6/30/2022,82
7/1/2022,94
7/2/2022,103
7/3/2022,112
7/4/2022,94
7/5/2022,99
7/6/2022,114
7/7/2022,143
7/8/2022,104
7/9/2022,65
7/10/2022,69
7/11/2022,94
7/12/2022,93.33
7/13/2022,92.67
7/14/2022,92
7/15/2022,76.5
7/16/2022,61
7/17/2022,75
7/18/2022,89
7/19/2022,103
7/20/2022,110
7/21/2022,104
7/22/2022,102
7/23/2022,79
7/24/2022,73
7/25/2022,67
7/26/2022,84
7/27/2022,101
7/28/2022,118
7/29/2022,108.5
7/30/2022,99
7/31/2022,111
8/1/2022,107
8/2/2022,103
8/3/2022,118
8/4/2022,110
8/5/2022,104
8/6/2022,98
8/7/2022,97
8/8/2022,66
8/9/2022,76
8/10/2022,99
8/11/2022,91
8/12/2022,76
8/13/2022,73
8/14/2022,68.5
8/15/2022,64
8/16/2022,68.33
8/17/2022,72.67
8/18/2022,77
8/19/2022,78
8/20/2022,79
8/21/2022,72
8/22/2022,72
8/23/2022,83
8/24/2022,94
8/25/2022,84
8/26/2022,114
8/27/2022,98.67
8/28/2022,83.33
8/29/2022,68
8/30/2022,75.5
8/31/2022,83
9/1/2022,90.5
9/2/2022,98
9/3/2022,78
9/4/2022,58
9/5/2022,86
9/6/2022,84
9/7/2022,75
9/8/2022,75
9/9/2022,75
9/10/2022,75
9/11/2022,75
9/12/2022,75
9/13/2022,75
9/14/2022,75
9/15/2022,80
9/16/2022,85
9/17/2022,90
9/18/2022,95
9/19/2022,93
9/20/2022,91
9/21/2022,89
9/22/2022,86
9/23/2022,74
9/24/2022,74.62
9/25/2022,75.25
9/26/2022,75.88
9/27/2022,76.5
9/28/2022,77.12
9/29/2022,77.75
9/30/2022,78.38
10/1/2022,79
10/2/2022,68
10/3/2022,71
10/4/2022,64
10/5/2022,62
10/6/2022,68
10/7/2022,75.4
10/8/2022,82.8
10/9/2022,90.2
10/10/2022,97.6
10/11/2022,105
10/12/2022,85
10/13/2022,67
10/14/2022,60
10/15/2022,62
10/16/2022,64
10/17/2022,67
10/18/2022,70
10/19/2022,67
10/20/2022,66
10/21/2022,70
10/22/2022,74
10/23/2022,78
10/24/2022,54
10/25/2022,50
10/26/2022,52.25
10/27/2022,54.5
10/28/2022,56.75
10/29/2022,59
10/30/2022,56.5
10/31/2022,54
11/1/2022,66
11/2/2022,69
11/3/2022,65
11/4/2022,95
11/5/2022,82
11/6/2022,80.75
11/7/2022,79.5
11/8/2022,78.25
11/9/2022,77
11/10/2022,78
11/11/2022,70
11/12/2022,62
11/13/2022,64
11/14/2022,72
11/15/2022,104
11/16/2022,83
11/17/2022,66
11/18/2022,49
11/19/2022,66
11/20/2022,63
11/21/2022,63
11/22/2022,74
11/23/2022,75
11/24/2022,58
11/25/2022,93.5
11/26/2022,129
11/27/2022,109
11/28/2022,90.5
11/29/2022,72
11/30/2022,76
12/1/2022,84
12/2/2022,95
12/3/2022,86
12/4/2022,76
12/5/2022,79
12/6/2022,82
12/7/2022,78
12/8/2022,86
12/9/2022,94
12/10/2022,81
12/11/2022,68
12/12/2022,63
12/13/2022,77
12/14/2022,76
12/15/2022,75
12/16/2022,74
12/17/2022,85.25
12/18/2022,96.5
12/19/2022,107.75
12/20/2022,119
12/21/2022,108.67
12/22/2022,98.33
12/23/2022,88
12/24/2022,77.67
12/25/2022,67.33
12/26/2022,57
12/27/2022,48
12/28/2022,67
12/29/2022,60
12/30/2022,63
12/31/2022,74
1/1/2023,58
1/2/2023,45
1/3/2023,38
1/4/2023,46
1/5/2023,63
1/6/2023,80
1/7/2023,76
1/8/2023,72
1/9/2023,74
1/10/2023,74
1/11/2023,70
1/12/2023,82
1/13/2023,82.12
1/14/2023,82.25
1/15/2023,82.38
1/16/2023,82.5
1/17/2023,82.62
1/18/2023,82.75
1/19/2023,82.88
1/20/2023,83
1/21/2023,69
1/22/2023,70
1/23/2023,59
1/24/2023,36
1/25/2023,36
1/26/2023,71
1/27/2023,77
1/28/2023,76
1/29/2023,79
1/30/2023,79
1/31/2023,102
2/1/2023,93.75
2/2/2023,85.5
2/3/2023,77.25
2/4/2023,69
2/5/2023,68
2/6/2023,68
2/7/2023,68
2/8/2023,68
2/9/2023,51
2/10/2023,51
2/11/2023,47
2/12/2023,42
2/13/2023,42
2/14/2023,36
2/15/2023,39
2/16/2023,49
2/17/2023,49
2/18/2023,49
2/19/2023,74
2/20/2023,66
2/21/2023,55
2/22/2023,55
2/23/2023,59
2/24/2023,56
2/25/2023,62
2/26/2023,54
2/27/2023,54
2/28/2023,63
3/1/2023,63
3/2/2023,38
3/3/2023,55
3/4/2023,60
3/5/2023,60
3/6/2023,60
3/7/2023,60
3/8/2023,60
3/9/2023,90
3/10/2023,79
3/11/2023,74
3/12/2023,100
3/13/2023,93
3/14/2023,93
3/15/2023,93
3/16/2023,99
3/17/2023,92
3/18/2023,71
3/19/2023,78
3/20/2023,76.78
3/21/2023,75.57
3/22/2023,74.35
3/23/2023,73.13
3/24/2023,71.91
3/25/2023,70.7
3/26/2023,69.48
3/27/2023,68.26
3/28/2023,67.04
3/29/2023,65.83
3/30/2023,64.61
3/31/2023,63.39
4/1/2023,62.17
4/2/2023,60.96
4/3/2023,59.74
4/4/2023,58.52
4/5/2023,57.3
4/6/2023,56.09
4/7/2023,54.87
4/8/2023,53.65
4/9/2023,52.43
4/10/2023,51.22
4/11/2023,50
4/12/2023,55
4/13/2023,60.5
4/14/2023,66
4/15/2023,60
4/16/2023,65
4/17/2023,65
4/18/2023,69
4/19/2023,69
4/20/2023,69
4/21/2023,69
4/22/2023,69
4/23/2023,69
4/24/2023,69.86
4/25/2023,70.71
4/26/2023,71.57
4/27/2023,72.43
4/28/2023,73.29
4/29/2023,74.14
4/30/2023,75
5/1/2023,75.86
5/2/2023,76.71
5/3/2023,77.57
5/4/2023,78.43
5/5/2023,79.29
5/6/2023,80.14
5/7/2023,81
5/8/2023,81.86
5/9/2023,82.71
5/10/2023,83.57
5/11/2023,84.43
5/12/2023,85.29
5/13/2023,86.14
5/14/2023,87
5/15/2023,87.86
5/16/2023,88.71
5/17/2023,89.57
5/18/2023,90.43
5/19/2023,91.29
5/20/2023,92.14
5/21/2023,93
5/22/2023,82
5/23/2023,100
5/24/2023,118
5/25/2023,114.33
5/26/2023,110.67
5/27/2023,107
5/28/2023,104
5/29/2023,112
5/30/2023,114
5/31/2023,91
6/1/2023,83
6/2/2023,101
6/3/2023,98.71
6/4/2023,96.43
6/5/2023,94.14
6/6/2023,91.86
6/7/2023,89.57
6/8/2023,87.29
6/9/2023,85
6/10/2023,86.25
6/11/2023,87.5
6/12/2023,88.75
6/13/2023,90
6/14/2023,90
6/15/2023,91.5
6/16/2023,93
6/17/2023,79
6/18/2023,83.5
6/19/2023,88
6/20/2023,90
6/21/2023,92
6/22/2023,101
6/23/2023,84
6/24/2023,78
6/25/2023,77.33
6/26/2023,76.67
6/27/2023,76
6/28/2023,61
6/29/2023,53
6/30/2023,60
7/1/2023,81
7/2/2023,86
7/3/2023,81.5
7/4/2023,77
7/5/2023,86
7/6/2023,82.33
7/7/2023,78.67
7/8/2023,75
7/9/2023,61
7/10/2023,62.33
7/11/2023,63.67
7/12/2023,65
7/13/2023,66.33
7/14/2023,67.67
7/15/2023,69
7/16/2023,69
7/17/2023,69
7/18/2023,86
7/19/2023,84
7/20/2023,80
7/21/2023,83.67
7/22/2023,87.33
7/23/2023,91
7/24/2023,96.5
7/25/2023,102
7/26/2023,103.5
7/27/2023,105
7/28/2023,98
7/29/2023,81
7/30/2023,79
7/31/2023,77
8/1/2023,81
8/2/2023,85
8/3/2023,89
8/4/2023,89.67
8/5/2023,90.33
8/6/2023,91
8/7/2023,94.5
8/8/2023,98
8/9/2023,96.33
8/10/2023,94.67
8/11/2023,93
8/12/2023,96
8/13/2023,87.5
8/14/2023,79
8/15/2023,91
8/16/2023,85.5
