TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
1/25/2024,42,58,47,7,11,31,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/26/2024,46,63,51,9,17,23,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
1/27/2024,50,67,50,11,18,12,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/28/2024,45,65,49,13,12,21,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/29/2024,36,0,48,18,12,24,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
1/30/2024,59,89,50,24,13,37,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/31/2024,54,60,50,14,17,26,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/1/2024,52,72,48,16,16,23,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/2/2024,43,58,48,14,15,33,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/3/2024,34,50,48,9,10,34,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
2/4/2024,35,53,48,7,8,31,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/5/2024,55,79,50,18,13,42,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/6/2024,61,80,50,18,15,41,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/7/2024,54,59,49,13,9,33,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/8/2024,56,78,52,22,11,81,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
2/9/2024,53,70,54,10,20,55,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
2/10/2024,53,69,52,11,23,13,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2/11/2024,52,71,51,19,17,52,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
2/12/2024,52,68,52,15,17,90,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
2/13/2024,57,74,52,15,19,207,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SANGAT TIDAK SEHAT,SANGAT TIDAK SEHAT
2/14/2024,51,61,52,10,20,212,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SANGAT TIDAK SEHAT,SANGAT TIDAK SEHAT
2/15/2024,51,76,51,16,18,145,SEDANG,SEDANG,SEDANG,BAIK,BAIK,TIDAK SEHAT,TIDAK SEHAT
2/16/2024,64,90,53,20,15,11,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
