name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.1535777, 106.910887",4/27/2023,33,25.3,29.3,40.4,25.3,34.3,24.8,77.7,0.01,100,8.33,rain,0,0,24.8,22.8,48.5,1007.8,44.8,5.9,235.6,20.2,8,30,2023-04-27T05:52:41,2023-04-27T17:47:30,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",4/28/2023,32.8,25.8,29.1,39.7,25.8,34.3,25.1,79.8,7.657,100,20.83,rain,0,0,19.4,21,11.6,1008.3,61.5,5.8,248,21.4,8,30,2023-04-28T05:52:40,2023-04-28T17:47:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",4/29/2023,32.8,25,29,39,25,33.1,24.4,77.5,0,0,0,rain,0,0,23,13.2,317.3,1007.9,47.1,5.4,234.3,20.2,8,30,2023-04-29T05:52:40,2023-04-29T17:46:55,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",4/30/2023,32.8,26.2,29.5,40.3,26.2,34.7,25,78.1,0.001,100,4.17,rain,0,0,18.4,15.4,10.1,1006.8,47.4,5.4,235.5,20.2,8,30,2023-04-30T05:52:40,2023-04-30T17:46:39,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/1/2023,31.8,25.3,28.2,39.2,25.3,32.9,25.4,85.4,0.697,100,8.33,rain,0,0,19.1,13.3,318.9,1007.4,55.2,5.2,200.8,17.3,8,30,2023-05-01T05:52:41,2023-05-01T17:46:23,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",5/2/2023,31.8,25.2,28.9,38.8,25.2,33.9,25.3,81.6,0.193,100,4.17,rain,0,0,21.6,14.2,62.2,1008.3,49.4,5.2,221.8,19.1,8,30,2023-05-02T05:52:42,2023-05-02T17:46:08,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/3/2023,33.8,27,29.5,42.2,31.2,35.8,25.8,81.2,0.078,100,8.33,rain,0,0,20.9,21.3,104.4,1008.8,58.8,5.8,209,17.9,8,30,2023-05-03T05:52:43,2023-05-03T17:45:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/4/2023,32,25.2,28.5,40.4,25.2,33.2,25.6,85,14.515,100,16.67,rain,0,0,21.6,17.4,103.8,1008.6,65.6,6.6,219.5,19.1,8,30,2023-05-04T05:52:45,2023-05-04T17:45:39,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
"-6.1535777, 106.910887",5/5/2023,33.8,26.2,28.8,42,26.2,33.4,25.6,83.8,25.077,100,8.33,rain,0,0,23,18.6,184.4,1006.7,56.4,5.8,228.7,19.7,8,30,2023-05-05T05:52:47,2023-05-05T17:45:26,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",5/6/2023,32.8,25.2,28.8,40.3,25.2,33.4,25.4,82.5,21.724,100,8.33,rain,0,0,20.2,21,103.1,1006.8,60.9,5.4,217.3,18.9,8,30,2023-05-06T05:52:50,2023-05-06T17:45:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
