name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.28889, 106.90919",1/29/2022,32,24,27.8,39.1,24,30.7,23.9,80.4,0,0,0,,0,0,24.1,14.8,309.5,1009.4,38.7,4.9,190.3,16.6,7,30,2022-01-29T05:53:43,2022-01-29T18:17:08,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/30/2022,32.9,25,27.9,40.4,25,30.9,24,80,0.068,100,4.17,rain,0,0,24.5,13,251.7,1009.1,44.2,4.7,237.2,20.4,8,30,2022-01-30T05:54:02,2022-01-30T18:17:10,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/31/2022,32,25,28.5,39.2,25,31.7,23.7,76,0,0,0,rain,0,0,29.9,16.6,314.3,1008.9,43.7,5.4,189.5,16.3,8,30,2022-01-31T05:54:20,2022-01-31T18:17:11,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/1/2022,32,25,28,37.9,25,30.8,24.3,81.4,0.082,100,4.17,rain,0,0,26.3,21.8,296,1008.4,49.2,5.1,279.3,24,10,30,2022-02-01T05:54:37,2022-02-01T18:17:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/2/2022,32,23.9,27.6,37.9,23.9,30.6,24,81.7,8.624,100,16.67,rain,0,0,27.4,22.3,338.2,1009.5,58.5,6.1,208.3,17.9,7,30,2022-02-02T05:54:53,2022-02-02T18:17:10,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/3/2022,33,25,28.7,38.1,25,32.1,24.2,78.2,1.692,100,16.67,rain,0,0,22.3,14.8,342.5,1008.9,40.1,5.5,194,16.7,6,30,2022-02-03T05:55:09,2022-02-03T18:17:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/4/2022,31,24,26.7,37.7,24,28.8,24.1,86.7,69.661,100,20.83,rain,0,0,26.3,18.2,279.9,1008.2,58.6,4.6,238,20.5,9,30,2022-02-04T05:55:24,2022-02-04T18:17:06,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/5/2022,30,24,26.3,36.1,24,28.1,24.2,88.8,43.553,100,16.67,rain,0,0,30.6,20.5,250.9,1008.6,53.8,6,131.4,11.3,6,30,2022-02-05T05:55:38,2022-02-05T18:17:02,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/6/2022,31,25,27.4,35.5,25,29.8,24,82.5,1.666,100,20.83,rain,0,0,51.5,23.6,270.1,1007.9,53.5,6,200.5,17.1,7,30,2022-02-06T05:55:52,2022-02-06T18:16:57,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/7/2022,31,25,27.6,36.5,25,30.2,24.3,83.7,12.338,100,16.67,rain,0,0,32.8,18.3,351.1,1008.2,54.8,5.5,179,15.5,7,30,2022-02-07T05:56:04,2022-02-07T18:16:52,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/8/2022,27,25,26.2,31.2,25,27.4,24.9,92.7,44.592,100,25,rain,0,0,31.7,11.1,156.9,1009.2,63.8,4.8,192,16.7,7,30,2022-02-08T05:56:17,2022-02-08T18:16:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/9/2022,31,25,27.4,37.7,25,29.6,23.9,82.3,5.609,100,16.67,rain,0,0,68.4,37.1,260.6,1009.1,53.9,5.4,237.1,20.5,8,30,2022-02-09T05:56:28,2022-02-09T18:16:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/10/2022,30,24,26.9,34.1,24,28.8,23.2,81,0.155,100,4.17,rain,0,0,44.6,22.3,250.9,1008.1,56.4,5.9,143.2,12.3,6,10,2022-02-10T05:56:39,2022-02-10T18:16:30,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/11/2022,30,24,27.3,36.2,24,30,23.9,82.4,0.224,100,4.17,rain,0,0,32.8,18.4,261.7,1007.5,51.8,5.5,253.1,22,9,10,2022-02-11T05:56:49,2022-02-11T18:16:21,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/12/2022,30,25,27.7,36.2,25,31.3,24.6,83.6,0,0,0,,0,0,34.2,12.9,281.1,1006.6,50.7,5.3,199.4,17.3,9,10,2022-02-12T05:56:58,2022-02-12T18:16:11,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/13/2022,31,24,26.9,37.7,24,28.9,24.3,86.2,0.135,100,8.33,rain,0,0,29.2,16.6,274.3,1006.5,50,5.1,197.1,17,9,10,2022-02-13T05:57:07,2022-02-13T18:16:01,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/14/2022,30,23.1,26.3,35.1,23.1,27.7,23.6,86.1,17.056,100,12.5,rain,0,0,25.9,18.3,231.5,1007.9,41.2,5.4,205.8,17.8,9,10,2022-02-14T05:57:15,2022-02-14T18:15:49,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/15/2022,34,24,27.3,39.3,24,29.4,23.7,82.7,4.789,100,4.17,rain,0,0,23.8,16.3,149.2,1007.8,46.5,5,208.2,17.9,8,10,2022-02-15T05:57:22,2022-02-15T18:15:37,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/16/2022,33.9,24,28,40.5,24,30.3,24,80.5,31.224,100,8.33,rain,0,0,24.1,33.5,57.7,1006.3,49.4,5.1,268.3,23.2,10,30,2022-02-16T05:57:28,2022-02-16T18:15:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/17/2022,31,24,27.2,37.7,24,29.7,24,83.9,0.658,100,12.5,rain,0,0,29.9,14.7,243.8,1006.6,49.9,5.2,223.4,19.2,8,10,2022-02-17T05:57:34,2022-02-17T18:15:10,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/18/2022,30,25,27,35.6,25,29.2,24.4,86.1,3.689,100,20.83,rain,0,0,19.1,17.8,33.4,1008.4,50.5,4.4,108,9.3,4,10,2022-02-18T05:57:40,2022-02-18T18:14:55,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",2/19/2022,30,25,27,35.2,25,29.6,24.4,86,1.35,100,12.5,rain,0,0,24.5,18.4,312.4,1009.4,46.9,5.1,252.5,22,9,30,2022-02-19T05:57:44,2022-02-19T18:14:40,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
