name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.207349, 106.753187",7/26/2022,32,25,28.3,36.8,25,31.1,23.2,74.9,0,0,0,,0,0,23.4,24.1,72,1009,47,7.1,223.2,19.4,7,10,2022-07-26T06:04:50,2022-07-26T17:54:21,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",7/27/2022,32,25,28.3,36.8,25,30.9,23,73.9,0,0,0,,0,0,23,16.6,73.5,1008.8,42.6,6.2,240.3,20.7,8,10,2022-07-27T06:04:44,2022-07-27T17:54:27,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",7/28/2022,33,26,28.9,39.3,26,32.7,24,75.6,0,0,0,,0,0,30.6,27.7,75.9,1008.4,40.2,7.6,228.6,19.7,8,10,2022-07-28T06:04:37,2022-07-28T17:54:33,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",7/29/2022,33,26,29.1,40.6,26,33.9,24.6,77.8,1.949,100,8.33,rain,0,0,24.1,27.7,81.1,1008.6,42.6,8.3,238.2,20.7,8,30,2022-07-29T06:04:29,2022-07-29T17:54:38,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",7/30/2022,32,25,28.3,37.9,25,31.9,24.6,81.2,0,0,0,rain,0,0,18.7,22.3,35.6,1009.2,46.7,6.6,229.2,19.8,8,10,2022-07-30T06:04:20,2022-07-30T17:54:43,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",7/31/2022,32,26,28.6,39.2,26,32.6,24.5,79.6,0,0,0,rain,0,0,26.6,27.7,71.5,1008,44.8,6.8,232.1,19.9,8,30,2022-07-31T06:04:10,2022-07-31T17:54:47,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/1/2022,33,25,28.7,40.6,25,32.6,24.4,78.6,0,0,0,,0,0,27,25.9,73.9,1008.1,41.4,7.5,245.2,21.1,8,10,2022-08-01T06:04:00,2022-08-01T17:54:50,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/2/2022,32,26,28.8,37.9,26,32.7,24.3,77.5,0,0,0,,0,0,19.4,18.4,42.9,1008.6,40.9,6,238,20.5,8,10,2022-08-02T06:03:49,2022-08-02T17:54:53,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/3/2022,32,26,28.7,40.7,26,33.2,24.9,80.8,5.295,100,16.67,rain,0,0,25.2,20.5,76.4,1009.2,59.3,5.4,196.2,17,7,10,2022-08-03T06:03:38,2022-08-03T17:54:56,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/4/2022,31,24,27.5,37.8,24,30.3,24.8,86.1,16.983,100,25,rain,0,0,31.7,20.1,0.7,1009.9,62.8,5.8,177,15.4,6,30,2022-08-04T06:03:25,2022-08-04T17:54:58,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/5/2022,30.1,25,27.4,36.2,25,30.1,24.8,86.4,10.105,100,12.5,rain,0,0,22.3,18.6,331.2,1010.2,56.2,6.3,204.6,17.7,7,10,2022-08-05T06:03:12,2022-08-05T17:55:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/6/2022,32,24,27.8,36.8,24,30,23.7,79.9,5.34,100,8.33,rain,0,0,15.5,18.3,5.2,1010,47.6,6.3,238.7,20.6,8,30,2022-08-06T06:02:58,2022-08-06T17:55:01,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/7/2022,32,24,27.7,37.8,24,30.4,23.9,80.8,3.242,100,12.5,rain,0,0,38.9,16.6,22.9,1009.6,50.1,6.4,241,20.9,8,30,2022-08-07T06:02:44,2022-08-07T17:55:02,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/8/2022,32,24,28.1,37,24,31.2,23.5,77,0,0,0,rain,0,0,18,18.4,320.3,1008.9,42.5,6.8,254.6,22.1,9,10,2022-08-08T06:02:29,2022-08-08T17:55:02,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/9/2022,32,25,28.5,37.9,25,31.6,23.6,75.8,1.941,100,8.33,rain,0,0,17.3,15.1,4.7,1008.8,49.6,7,239,20.6,8,10,2022-08-09T06:02:13,2022-08-09T17:55:01,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
