name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.236658728205383, 106.79319751533286",7/23/2022,32.3,25,28.6,39.2,25,32.3,24.5,79.7,0.073,100,8.33,rain,0,0,23,18.4,68.1,1009.5,42.5,7.1,219.7,19,7,30,2022-07-23T06:04:58,2022-07-23T17:53:48,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/24/2022,32.8,25,28.5,38.3,25,31.9,24.1,78,0.46,100,20.83,rain,0,0,21.2,18.5,351.7,1008.1,43.2,7.4,204.5,17.6,7,10,2022-07-24T06:04:54,2022-07-24T17:53:56,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/25/2022,31.4,25,28.2,36.5,25,31.4,24.1,79.6,1.79,100,12.5,rain,0,0,20.5,18.4,32.7,1008.3,66,6.1,205.1,17.6,7,10,2022-07-25T06:04:49,2022-07-25T17:54:03,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/26/2022,32,25,28.4,36.8,25,31.3,23.2,74.5,0,0,0,,0,0,23.4,24.1,71.7,1009,48,7,223.2,19.4,7,10,2022-07-26T06:04:43,2022-07-26T17:54:09,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/27/2022,32.4,25,28.4,36.8,25,31,23,73.4,0,0,0,,0,0,23,16.6,75.2,1008.8,43.4,6.2,240.3,20.7,8,10,2022-07-27T06:04:37,2022-07-27T17:54:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/28/2022,33,26,29,39.3,26,32.8,24,75.4,0,0,0,,0,0,30.6,27.7,77.8,1008.4,41.7,7.5,228.6,19.7,8,10,2022-07-28T06:04:29,2022-07-28T17:54:21,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/29/2022,33,26,29.1,40.6,26,33.9,24.6,77.4,1.34,100,8.33,rain,0,0,24.1,27.7,81.3,1008.6,44.1,8.2,238.2,20.7,8,30,2022-07-29T06:04:21,2022-07-29T17:54:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/30/2022,32,25,28.4,38,25,32.1,24.6,80.9,0,0,0,rain,0,0,18.7,22.3,34.3,1009.2,46.7,6.6,229.2,19.8,8,10,2022-07-30T06:04:13,2022-07-30T17:54:31,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",7/31/2022,32,26,28.7,39.2,26,32.7,24.5,79.2,0,0,0,rain,0,0,26.6,27.7,72,1008,45.9,6.7,232.1,19.9,8,30,2022-07-31T06:04:03,2022-07-31T17:54:35,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/1/2022,33,25,28.8,40.6,25,32.7,24.4,78.2,0,0,0,,0,0,27,25.9,73.7,1008.1,43,7.4,245.2,21.1,8,10,2022-08-01T06:03:53,2022-08-01T17:54:38,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/2/2022,32,26,28.9,37.9,26,33.1,24.3,77.2,0,0,0,,0,0,19.4,18.7,36.1,1008.6,42.7,6,238,20.5,8,10,2022-08-02T06:03:42,2022-08-02T17:54:42,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.236658728205383, 106.79319751533286",8/3/2022,32.3,26,28.8,40.7,26,33.4,24.8,80.1,3.518,100,16.67,rain,0,0,25.2,20.5,77.2,1009.2,60.6,5.4,196.2,17,7,10,2022-08-03T06:03:30,2022-08-03T17:54:44,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
