TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2022-03-25,84.0,114.0,37.0,18.0,25.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-03-27,,,,,,,,,,,,,
2022-03-28,52.0,56.0,32.0,10.0,22.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-03-29,65.0,86.0,35.0,15.0,21.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-03-30,79.0,106.0,36.0,16.0,20.0,16.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-04-01,78.0,99.0,35.0,18.0,14.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-04,42.0,54.0,30.0,11.0,10.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-05,50.0,60.0,32.0,10.0,17.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-06,51.0,60.0,31.0,11.0,18.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-07,49.0,59.0,29.0,15.0,17.0,8.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-10,61.0,97.0,28.0,22.0,26.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-12,65.0,99.0,30.0,16.0,40.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-13,70.0,109.0,30.0,19.0,43.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-04-14,70.0,104.0,29.0,14.0,50.0,12.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-04-16,63.0,102.0,29.0,16.0,36.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-04-17,69.0,111.0,29.0,21.0,35.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-04-18,64.0,100.0,29.0,14.0,31.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-20,62.0,86.0,31.0,19.0,26.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-22,67.0,100.0,34.0,28.0,14.0,16.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-23,60.0,82.0,31.0,23.0,22.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-24,64.0,96.0,29.0,21.0,28.0,18.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-26,60.0,82.0,33.0,11.0,25.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-27,52.0,79.0,32.0,15.0,14.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-04-29,38.0,58.0,29.0,8.0,14.0,4.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-01,63.0,100.0,31.0,20.0,17.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-02,64.0,97.0,31.0,16.0,20.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-03,49.0,66.0,30.0,11.0,20.0,9.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-05,54.0,78.0,30.0,13.0,22.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-06,44.0,65.0,29.0,8.0,21.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-07,63.0,104.0,29.0,14.0,23.0,10.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-05-11,50.0,71.0,30.0,11.0,26.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-13,53.0,60.0,29.0,6.0,18.0,5.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-14,64.0,102.0,31.0,13.0,26.0,12.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-05-16,62.0,90.0,30.0,16.0,22.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-17,60.0,88.0,32.0,16.0,23.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-19,59.0,98.0,30.0,15.0,28.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-20,65.0,100.0,32.0,19.0,31.0,17.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-22,52.0,79.0,34.0,12.0,26.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-23,62.0,99.0,33.0,15.0,21.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-25,64.0,97.0,34.0,16.0,17.0,17.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-26,64.0,96.0,33.0,15.0,17.0,16.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-05-28,0.0,108.0,36.0,20.0,38.0,18.0,BAIK,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-05-31,0.0,83.0,36.0,22.0,13.0,8.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-03,36.0,67.0,33.0,15.0,23.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-04,61.0,86.0,35.0,15.0,27.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-06,57.0,88.0,33.0,16.0,32.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-07,53.0,74.0,33.0,14.0,29.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-09,63.0,85.0,31.0,20.0,14.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-10,44.0,74.0,33.0,16.0,23.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-11,45.0,74.0,32.0,12.0,25.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-12,53.0,84.0,30.0,15.0,19.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-14,58.0,89.0,31.0,22.0,25.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-15,,,,,,,,,,,,,
2022-06-17,91.0,131.0,33.0,25.0,20.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-06-22,73.0,117.0,38.0,15.0,30.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-06-23,68.0,105.0,37.0,13.0,30.0,13.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-06-25,75.0,108.0,34.0,20.0,29.0,16.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-06-27,64.0,94.0,34.0,18.0,34.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-28,62.0,90.0,34.0,15.0,40.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-06-30,57.0,82.0,38.0,9.0,38.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-01,64.0,94.0,38.0,12.0,39.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-03,79.0,112.0,37.0,13.0,45.0,13.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-04,72.0,94.0,40.0,11.0,28.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-05,70.0,99.0,0.0,0.0,0.0,0.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-06,74.0,114.0,36.0,19.0,30.0,18.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-07,96.0,143.0,35.0,30.0,33.0,18.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-08,,,,,,,,,,,,,
2022-07-09,44.0,65.0,34.0,7.0,32.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-10,50.0,69.0,35.0,8.0,32.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-11,64.0,94.0,37.0,10.0,33.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-14,64.0,92.0,40.0,20.0,23.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-16,44.0,61.0,35.0,12.0,27.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-19,76.0,103.0,39.0,14.0,39.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-20,76.0,110.0,39.0,15.0,37.0,13.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-21,71.0,104.0,38.0,12.0,40.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-22,72.0,102.0,40.0,12.0,37.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-23,67.0,79.0,41.0,9.0,30.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-25,50.0,67.0,37.0,12.0,32.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-28,82.0,118.0,41.0,16.0,32.0,19.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-07-30,72.0,99.0,40.0,12.0,32.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-07-31,80.0,111.0,39.0,12.0,35.0,12.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-08-01,73.0,0.0,37.0,10.0,37.0,9.0,SEDANG,BAIK,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-02,73.0,103.0,38.0,12.0,38.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-08-03,92.0,118.0,37.0,14.0,40.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-08-04,91.0,110.0,37.0,12.0,36.0,10.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-08-06,70.0,98.0,38.0,16.0,34.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-07,71.0,97.0,38.0,13.0,35.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-08,55.0,66.0,37.0,9.0,35.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-09,57.0,76.0,37.0,10.0,36.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-10,71.0,99.0,37.0,14.0,37.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-11,68.0,91.0,38.0,14.0,30.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-12,60.0,76.0,38.0,13.0,29.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-13,60.0,73.0,35.0,13.0,29.0,12.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-15,53.0,64.0,37.0,10.0,25.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-18,58.0,77.0,39.0,10.0,29.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-20,62.0,79.0,41.0,9.0,27.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-21,56.0,72.0,40.0,8.0,31.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-22,53.0,72.0,39.0,13.0,33.0,14.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-24,76.0,94.0,40.0,12.0,36.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-25,67.0,84.0,42.0,9.0,38.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-08-26,51.0,114.0,53.0,15.0,36.0,24.0,SEDANG,TIDAK SEHAT,SEDANG,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-08-29,57.0,68.0,41.0,11.0,36.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-01,,,,,,,,,,,,,
2022-09-02,77.0,98.0,43.0,14.0,20.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-04,48.0,58.0,40.0,7.0,26.0,8.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-05,65.0,86.0,41.0,12.0,32.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-06,65.0,84.0,41.0,10.0,36.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-07,56.0,75.0,37.0,11.0,28.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-09,59.0,75.0,40.0,18.0,29.0,15.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-09-10,,,,,,,,,,,,,
2022-09-11,,,,,,,,,,,,,
2022-09-12,,,,,,,,,,,,,
