name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.35693, 106.80367",2/24/2022,32.7,23,27.5,34.7,23,29.1,21.9,73.8,5.983,100,16.67,rain,0,0,33.5,30.1,250.4,1010.4,49.5,6.9,139.2,12.1,6,10,2022-02-24T05:58:21,2022-02-24T18:13:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/25/2022,29.5,24,26.5,32.9,24,27.4,22.8,80.8,5.273,100,12.5,rain,0,0,31.7,21.7,250.4,1010.3,56,6.5,118.7,10.3,5,10,2022-02-25T05:58:22,2022-02-25T18:13:21,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/26/2022,31,24.5,26.4,35.6,24.5,27.5,23.3,83.6,5.213,100,16.67,rain,0,0,59.4,30.7,251.5,1009.8,53.4,6.6,160.1,13.9,7,10,2022-02-26T05:58:23,2022-02-26T18:13:00,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/27/2022,30.7,24,26.8,36.1,24,28.6,23.6,83.3,5.617,100,16.67,rain,0,0,43.6,27.7,258.2,1009.5,44.5,6.9,212.2,18.4,8,10,2022-02-27T05:58:23,2022-02-27T18:12:40,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/28/2022,30,24.9,27.2,35,24.9,29.4,23.9,83,4.798,100,20.83,rain,0,0,38.2,20.5,261.7,1008.9,51.7,6.8,220.2,19.1,9,10,2022-02-28T05:58:22,2022-02-28T18:12:18,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",3/1/2022,29,23.2,25.6,33.6,23.2,26.7,23.8,90,17.231,100,29.17,rain,0,0,40.3,24.1,258.1,1009.3,62.6,5.8,185.3,16.2,8,10,2022-03-01T05:58:21,2022-03-01T18:11:56,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",3/2/2022,31.3,24,27.1,37.7,24,29.5,24,83.9,10.782,100,12.5,rain,0,0,57.6,26.3,263,1008.8,48.7,6.7,197,17.2,6,10,2022-03-02T05:58:20,2022-03-02T18:11:34,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",3/3/2022,32.8,24,28,39.2,24,31.1,23.7,78.5,0.627,100,12.5,rain,0,0,34.2,27.7,270.1,1008.3,46.5,7,243.1,20.9,9,30,2022-03-03T05:58:18,2022-03-03T18:11:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",3/4/2022,31.8,24,27.8,36.9,24,30.5,23.8,80.3,3.675,100,8.33,rain,0,0,35.3,16.6,269.9,1009.3,59.7,6.5,111.5,9.7,4,30,2022-03-04T05:58:16,2022-03-04T18:10:47,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",3/5/2022,32.8,24,27,38.2,24,28.6,23.7,83,14.647,100,12.5,rain,0,0,37.8,23.1,238.8,1008.9,50.9,6.3,201.3,17.4,9,30,2022-03-05T05:58:13,2022-03-05T18:10:23,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
