datetime,station_name,ispu_pm25
3/16/2022,kelapa_gading,60.69
3/16/2022,lubang_buaya,15.3
3/17/2022,bundaran_hi,96.24
3/17/2022,jagakarsa,110.24
3/17/2022,kebun_jeruk,102.52
3/17/2022,kelapa_gading,81.83
3/17/2022,lubang_buaya,91.86
3/18/2022,bundaran_hi,84.48
3/18/2022,jagakarsa,84.05
3/18/2022,kebun_jeruk,105.43
3/18/2022,kelapa_gading,82.92
3/18/2022,lubang_buaya,77.76
3/19/2022,bundaran_hi,30.32
3/19/2022,jagakarsa,32.32
3/19/2022,kebun_jeruk,32.58
3/19/2022,kelapa_gading,59.05
3/19/2022,lubang_buaya,34
3/20/2022,bundaran_hi,42.25
3/20/2022,jagakarsa,61.95
3/20/2022,kebun_jeruk,55.3
3/20/2022,kelapa_gading,37.99
3/20/2022,lubang_buaya,42.75
3/21/2022,bundaran_hi,22.33
3/21/2022,jagakarsa,47
3/21/2022,kebun_jeruk,30.71
3/21/2022,kelapa_gading,31.14
3/21/2022,lubang_buaya,27.67
3/22/2022,bundaran_hi,19.59
3/22/2022,jagakarsa,61.12
3/22/2022,kebun_jeruk,32
3/22/2022,kelapa_gading,28.8
3/22/2022,lubang_buaya,38.06
3/23/2022,bundaran_hi,52.55
3/23/2022,jagakarsa,42.25
3/23/2022,kebun_jeruk,47.55
3/23/2022,kelapa_gading,53.42
3/23/2022,lubang_buaya,52.5
3/24/2022,bundaran_hi,42.1
3/24/2022,jagakarsa,47.6
3/24/2022,kebun_jeruk,26.28
3/24/2022,kelapa_gading,43.57
3/24/2022,lubang_buaya,45.4
3/25/2022,bundaran_hi,78.7
3/25/2022,jagakarsa,52.96
3/25/2022,kebun_jeruk,5
3/25/2022,kelapa_gading,79.29
3/25/2022,lubang_buaya,96.74
3/26/2022,bundaran_hi,74.06
3/26/2022,jagakarsa,85.47
3/26/2022,kebun_jeruk,97.18
3/26/2022,kelapa_gading,81.97
3/26/2022,lubang_buaya,82.12
3/27/2022,bundaran_hi,64.15
3/27/2022,jagakarsa,69.33
3/27/2022,kebun_jeruk,79.87
3/27/2022,kelapa_gading,65.98
3/27/2022,lubang_buaya,70.81
