system:index,Optical_Depth_047,date,name,.geo
MCD19A2_A2000258_h28v09_061_2022161034808_01_2_0,503,2000-09-14,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000258_h28v09_061_2022161034808_01_3_0,506,2000-09-14,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000259_h28v09_061_2022161035406_02_0_0,382,2000-09-15,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000259_h28v09_061_2022161035406_02_2_0,373,2000-09-15,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000259_h28v09_061_2022161035406_02_4_0,378,2000-09-15,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000260_h28v09_061_2022161040149_01_0_0,263,2000-09-16,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000260_h28v09_061_2022161040149_01_1_0,75,2000-09-16,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000260_h28v09_061_2022161040149_01_2_0,134,2000-09-16,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000260_h28v09_061_2022161040149_01_3_0,32,2000-09-16,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000260_h28v09_061_2022161040149_01_4_0,68,2000-09-16,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000261_h28v09_061_2022161040807_01_1_0,565,2000-09-17,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000261_h28v09_061_2022161040807_01_2_0,586,2000-09-17,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000262_h28v09_061_2022161041350_01_1_0,561,2000-09-18,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000262_h28v09_061_2022161041350_01_2_0,345,2000-09-18,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000262_h28v09_061_2022161041350_01_3_0,517,2000-09-18,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000262_h28v09_061_2022161041350_01_4_0,555,2000-09-18,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000265_h28v09_061_2022161043151_01_2_0,838,2000-09-21,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000267_h28v09_061_2022161044322_01_2_0,346,2000-09-23,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000267_h28v09_061_2022161044322_01_3_0,532,2000-09-23,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000271_h28v09_061_2022161050643_01_0_0,201,2000-09-27,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000271_h28v09_061_2022161050643_01_1_0,323,2000-09-27,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
