datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD,station_name
6/12/2022,83.4,26.715704,23.440746,82.3,0.018,1.2180202,0.297846153846154,bundaran_hi
6/13/2022,75.86,26.625124,23.676832,83.9,0.007,1.0891383,0.302461538461538,bundaran_hi
6/14/2022,81.53,26.87604,23.342808,81,0.002,1.4160324,0.307076923076923,bundaran_hi
6/15/2022,86.12,25.764124,23.36421,86.6,4.126,1.8378121,0.011,bundaran_hi
6/16/2022,90.71,26.054647,23.414799,85.4,0,0.91109633,0.332,bundaran_hi
6/17/2022,95.3,25.519281,23.358679,87.9,0.006,1.298561,0.338071428571429,bundaran_hi
6/18/2022,99.02,26.212717,22.720926,81.1,0.001,1.2493826,0.344142857142857,bundaran_hi
6/19/2022,102.74,26.972984,23.137156,79.6,0,1.5057462,0.327625,bundaran_hi
6/20/2022,106.47,26.392586,23.118639,82.2,0.136,1.1322653,0.22075,bundaran_hi
6/21/2022,92.23,26.942955,23.537397,81.7,0,1.8759524,0.2296,bundaran_hi
6/22/2022,87.47,26.99035,23.547373,81.5,15.275,2.0009286,0.1572,bundaran_hi
6/23/2022,93.84,27.139877,22.779556,77.1,0.001,1.4788094,0.09725,bundaran_hi
6/24/2022,102.68,26.393904,23.138908,82.3,0.002,1.7480513,0.116,bundaran_hi
6/25/2022,104.26,26.433165,23.506372,84,0.244,1.0146686,0.13475,bundaran_hi
6/26/2022,91.72,26.09049,23.784271,87.1,0.029,1.2994683,0.244,bundaran_hi
6/27/2022,84,26.558077,23.81331,84.9,21.483,0.9785658,0.401833333333333,bundaran_hi
6/28/2022,74.48,27.173067,23.2339,79.1,0.493,1.4467971,0.346,bundaran_hi
6/29/2022,35,26.977419,22.170668,75,0,1.4991407,0.431,bundaran_hi
6/30/2022,22.5,26.747747,21.951788,75,0,1.460419,0.4751,bundaran_hi
7/1/2022,86.53,27.048124,21.927708,73.6,0,1.758649,0.3556,bundaran_hi
7/2/2022,108.27,27.450996,23.176981,77.6,0.009,1.0351983,0.2361,bundaran_hi
7/3/2022,109.14,27.33214,24.138493,82.7,17.415,1.6883646,0.1166,bundaran_hi
7/4/2022,72.74,27.771477,24.213217,81,0.047,2.9529984,0.371,bundaran_hi
7/5/2022,69,27.430216,24.08155,82,0.005,1.4832985,0.361,bundaran_hi
7/6/2022,75.72,26.455307,23.96124,86.2,29.061,1.1231618,0.512333333333333,bundaran_hi
7/7/2022,74.68,27.641802,23.944407,80.3,0.006,1.2292345,0.526764705882353,bundaran_hi
7/8/2022,73.02,27.210443,22.920994,77.4,0,1.412279,0.511470588235294,bundaran_hi
7/9/2022,71.36,26.702295,22.221655,76.5,0,1.1841788,0.496176470588235,bundaran_hi
7/10/2022,28.75,26.867558,21.978445,74.6,0,1.9542651,0.435,bundaran_hi
7/11/2022,37.7,27.609135,22.817316,75.2,0,1.9400109,0.305,bundaran_hi
7/12/2022,92.5,26.875757,23.683474,82.7,0.02,1.3802207,0.320625,bundaran_hi
7/13/2022,86.17,25.966303,23.64682,87.1,0.279,2.136517,0.33625,bundaran_hi
7/14/2022,82.19,27.158562,24.011507,83,0.001,3.123212,0.351875,bundaran_hi
7/15/2022,69.67,26.333143,23.597437,84.9,7.368,1.3286736,0.3675,bundaran_hi
7/16/2022,54.21,25.484285,22.730257,84.8,40.948,1.648584,0.383125,bundaran_hi
7/17/2022,68.95,26.455404,23.760042,85.2,0,2.0941608,0.39875,bundaran_hi
7/18/2022,91.1,27.390501,23.67113,80.2,0.001,1.7319545,0.345,bundaran_hi
7/19/2022,95.76,27.650537,23.871738,79.9,0,1.7415653,0.245,bundaran_hi
7/20/2022,92.84,27.046755,23.699179,82,0,1.8665807,0.239424242424242,bundaran_hi
7/21/2022,90.71,27.453733,23.20268,77.7,0,1.4487708,0.231545454545455,bundaran_hi
7/22/2022,94.05,26.86602,23.42478,81.5,0.009,2.0436647,0.223666666666667,bundaran_hi
7/23/2022,70,27.141157,23.621016,81.1,0.004,1.5617385,0.215787878787879,bundaran_hi
7/24/2022,63.63,26.931704,23.640306,82.2,0.026,1.103817,0.207909090909091,bundaran_hi
7/25/2022,69,27.059584,23.15057,79.2,0.114,1.1722982,0.200030303030303,bundaran_hi
7/26/2022,79.85,27.167868,22.128242,74,0,2.2788444,0.192151515151515,bundaran_hi
7/27/2022,88,27.085775,22.268347,75,0,2.0908833,0.177521739130435,bundaran_hi
7/28/2022,100.55,27.739302,23.44727,77.5,0,2.9810138,0.158391304347826,bundaran_hi
7/29/2022,76.86,27.158876,23.542974,80.7,0.107,2.1290724,0.139260869565217,bundaran_hi
7/30/2022,76.05,27.283358,23.497599,79.8,0,1.848408,0.120130434782609,bundaran_hi
7/31/2022,94.39,27.341892,23.339277,78.8,0,2.884149,0.101,bundaran_hi
8/1/2022,82.95,27.338182,23.366552,79,0,2.4069352,0.0688571428571429,bundaran_hi
8/2/2022,78,27.719662,23.414646,77.4,0,1.8324906,0.0615,bundaran_hi
8/3/2022,100.7,26.84603,23.717602,83,0.174,1.7119247,0.0706666666666667,bundaran_hi
8/4/2022,81.07,26.499435,23.656912,84.4,8.637,1.0050627,0.0798333333333333,bundaran_hi
8/5/2022,58.38,26.399214,23.19647,82.6,14.978,1.5001357,0.089,bundaran_hi
8/6/2022,65.53,26.935045,22.955153,78.9,3.029,1.1373675,0.10225,bundaran_hi
8/7/2022,94.85,26.582193,22.823866,79.9,0.107,1.3783044,0.1155,bundaran_hi
8/8/2022,65.62,27.626364,22.812393,75.1,0,1.1998135,0.12875,bundaran_hi
8/9/2022,8.38,27.512432,22.891201,75.9,0.208,1.1966395,0.142,bundaran_hi
8/10/2022,82.55,27.626726,23.150677,76.6,0,1.5607978,0.118571428571429,bundaran_hi
8/11/2022,84.1,28.027945,23.661463,77.2,0.004,1.4617474,0.208842105263158,bundaran_hi
8/12/2022,77.09,27.074594,23.502506,80.9,0.041,1.2148443,0.238447368421053,bundaran_hi
8/13/2022,72.08,27.295567,23.193665,78.3,0.004,1.6486251,0.268052631578947,bundaran_hi
8/14/2022,82.16,26.780422,23.078667,80.2,0.042,1.7344022,0.297657894736842,bundaran_hi
8/15/2022,69.44,26.638868,23.226671,81.6,0.046,1.3341795,0.327263157894737,bundaran_hi
8/16/2022,74.33,27.000898,23.347612,80.4,0.039,1.206233,0.356868421052632,bundaran_hi
8/17/2022,66.93,27.236458,23.564573,80.4,5.852,1.9701041,0.386473684210526,bundaran_hi
8/18/2022,68.05,27.77968,22.18139,71.6,0,2.327872,0.416078947368421,bundaran_hi
8/19/2022,73.68,28.112808,22.698301,72.5,0,2.386349,0.382695652173913,bundaran_hi
8/20/2022,74,27.840065,22.99262,75,0,1.8100513,0.333565217391304,bundaran_hi
8/21/2022,72.73,26.768845,23.154293,80.6,0.226,1.4579132,0.284434782608696,bundaran_hi
8/22/2022,66.95,26.635942,23.404648,82.5,0,1.2898088,0.235304347826087,bundaran_hi
8/23/2022,90.63,27.818983,23.133875,75.7,0,1.6624542,0.1984,bundaran_hi
8/24/2022,91.75,27.533617,23.167633,77.1,0.017,1.4647925,0.2104,bundaran_hi
8/25/2022,80.4,27.19658,22.431587,75.2,0.002,1.7200575,0.2224,bundaran_hi
8/26/2022,94.89,27.550322,22.378248,73.5,0,1.2924291,0.2344,bundaran_hi
8/27/2022,106.46,26.946936,23.043453,79.2,0.057,1.5248717,0.1785,bundaran_hi
8/28/2022,85,26.390738,23.487284,84.1,0.074,1.7787704,0.161857142857143,bundaran_hi
8/29/2022,75.65,27.13648,22.790611,77.2,0.018,1.216745,0.188,bundaran_hi
8/30/2022,70.59,27.428307,23.05109,77.1,0,1.4770474,0.201,bundaran_hi
8/31/2022,74.73,27.639065,23.454979,78,0.013,2.0366924,0.2361,bundaran_hi
9/1/2022,78.86,26.892841,23.851427,83.5,0.561,2.0833437,0.25635,bundaran_hi
9/2/2022,83,27.389715,23.161674,77.8,0.119,2.0365963,0.2766,bundaran_hi
9/3/2022,78.78,27.215878,22.35762,74.8,0.007,2.7223887,0.29685,bundaran_hi
9/4/2022,54.35,27.614243,23.164705,76.8,0.031,1.5726789,1.06,bundaran_hi
9/5/2022,79.17,27.682882,23.5958,78.5,0.006,1.9422942,0.777,bundaran_hi
9/6/2022,76.18,27.083319,23.781206,82.2,0.457,2.020986,0.622,bundaran_hi
9/7/2022,67.26,26.5706,23.67384,84.2,5.744,1.3732681,0.467,bundaran_hi
9/8/2022,72.33,25.43001,23.232054,87.7,2.657,1.2223164,1.1472,bundaran_hi
9/9/2022,82.26,25.714682,22.974453,84.9,55.163,1.8933862,0.2065,bundaran_hi
9/10/2022,82.77,25.803616,23.175982,85.4,0.357,1.272265,0.220111111111111,bundaran_hi
9/11/2022,83.28,26.564142,23.351542,82.6,22.352,1.3455063,0.129,bundaran_hi
9/12/2022,83.79,26.490875,23.272097,82.5,0.033,1.5932548,0.447571428571429,bundaran_hi
9/13/2022,84.3,27.241995,22.631796,76,0.005,1.4733735,0.314,bundaran_hi
9/14/2022,84.57,27.314016,22.672798,75.8,0,1.321164,0.304,bundaran_hi
9/15/2022,92.82,27.65256,22.837614,75.1,0,1.1469938,0.519,bundaran_hi
9/16/2022,89.64,27.314789,23.221231,78.4,0.054,1.257805,0.437333333333333,bundaran_hi
9/17/2022,86.45,27.783205,23.395334,77.1,0,1.5775852,0.239,bundaran_hi
9/18/2022,105.48,27.854284,23.609774,77.7,0.973,1.1167835,0.531222222222222,bundaran_hi
9/19/2022,98,27.022793,23.207375,79.7,0.117,1.7149982,0.321777777777778,bundaran_hi
9/20/2022,81.25,27.49912,22.762362,75.4,0,1.3026438,0.762,bundaran_hi
9/21/2022,83.14,27.470732,23.329443,78.2,0.186,1.5854964,0.7415,bundaran_hi
9/22/2022,80,26.901281,23.631636,82.3,20.944,1.223769,0.787,bundaran_hi
9/23/2022,82,26.389708,23.679382,85.1,0.18,1.5218431,0.514,bundaran_hi
9/24/2022,81.59,27.101114,23.37175,80.1,0,1.7574091,0.418,bundaran_hi
9/25/2022,81.19,27.797045,23.413248,77.1,0,1.3142766,0.431,bundaran_hi
9/26/2022,80.78,27.905565,23.210653,75.7,10.782,1.3972936,0.3844,bundaran_hi
9/27/2022,80.38,27.850386,22.907267,74.5,0,1.512534,0.676,bundaran_hi
9/28/2022,79.97,28.183388,22.576548,71.6,0,1.2794797,0.189333333333333,bundaran_hi
9/29/2022,79.56,27.922434,23.000423,74.6,0.006,2.1066306,0.934,bundaran_hi
9/30/2022,79.16,27.769869,23.502748,77.6,0,2.7364237,0.094,bundaran_hi
10/1/2022,78.75,27.791666,23.754368,78.7,0.003,1.6837084,0.451,bundaran_hi
10/2/2022,46,26.685598,23.807451,84.3,16.292,1.4237429,0.802,bundaran_hi
10/3/2022,67.04,27.039976,23.761946,82.3,1.987,1.709114,0.660666666666667,bundaran_hi
10/4/2022,63.18,26.466341,23.65387,84.6,21.862,1.1500714,0.682,bundaran_hi
10/5/2022,61.96,26.333788,23.738285,85.7,3.989,1.6921519,0.609,bundaran_hi
10/6/2022,73.24,26.325909,23.788738,86,43.764,1.6223162,0.341,bundaran_hi
10/7/2022,70.28,26.036615,23.23077,84.6,5.341,2.4619594,0.19,bundaran_hi
10/8/2022,67.33,26.96647,23.369032,80.7,0.006,1.5549167,0.615,bundaran_hi
10/9/2022,64.37,26.954346,23.33571,80.6,0.133,1.3483946,1.03,bundaran_hi
10/10/2022,61.42,26.992292,23.437319,80.9,0.003,1.1655245,0.656,bundaran_hi
10/11/2022,90.11,26.367018,23.518763,84.4,16.845,1.1014087,0.592740740740741,bundaran_hi
10/12/2022,79.47,26.62597,23.339495,82.2,0.033,1.7370318,0.611444444444444,bundaran_hi
10/13/2022,73.68,26.633154,23.49309,82.9,21.377,1.1380959,0.630148148148148,bundaran_hi
10/14/2022,65.67,27.157164,23.602163,80.9,0.011,1.15119,0.648851851851852,bundaran_hi
